unique_id,id,dataset,split,text,source,category,similarity_score,candidate_example,candidate_text,values_indices,json_answer,attributes,attributes_values,values
1244039,69,ae-110k,train,OUTAD Electric Gas Lighter Fire Starter Battery Lighters BBQ Stove Kitchen Cooker Pulse Piezo Igniter Natural Cooktop Ignitio,,,,"{'json_answer': ""{'Brand Name': 'BRS', 'Type': 'Gas Stove', 'Fuel': 'Butagas LPG', 'Applicable Seasoning Type': 'Butagas LPG', 'Style': 'Outdoor', 'Category': 'Gas Stove', 'Stove Type': 'Gas Stove'}"", 'text': 'BRS-71 Portable Outdoor Camping Stove Butagas LPG Gas Cooking 9800W Picnic Gas Stove Butane Gas Burner Bruciatore'}",BRS-71 Portable Outdoor Camping Stove Butagas LPG Gas Cooking 9800W Picnic Gas Stove Butane Gas Burner Bruciatore,,"{""brand"": ""OUTAD"", ""category"": ""lighter"", ""type"": ""electric gas lighter"", ""features"": [""Battery powered"", ""Fire starter""]}","['brand', 'category', 'type', 'features']","attribute: brand, value: OUTAD | attribute: category, value: lighter | attribute: type, value: electric gas lighter | attribute: features, value: ['Battery powered', 'Fire starter']","['OUTAD', 'lighter', 'electric gas lighter', ['Battery powered', 'Fire starter']]"
1603459,20259,ae-110k,train,Spider Man Monokinis Rompers Jumpsuit One Piece Swimsuit Long Sleeve Spiderman Swimwear Bodycon Sport Suits Surfing Rash Guard,,,,"{'json_answer': ""{'Sport Type': 'Swim', 'Brand Name': 'GLANE', 'Gender': 'Girls'}"", 'text': 'GLANE Brief New Kids Baby Girls Bikini Suit for Girl Navy Swimsuit Swimwear Bathing Swimming Clothes Two piece suit Beach Summer'}",GLANE Brief New Kids Baby Girls Bikini Suit for Girl Navy Swimsuit Swimwear Bathing Swimming Clothes Two piece suit Beach Summer,,"{""brand"": ""Spider Man"", ""category"": ""swimwear"", ""style"": ""Monokinis"", ""type"": ""Romper"", ""intended_use"": ""Surfing, Rash Guard""}","['brand', 'category', 'style', 'type', 'intended_use']","attribute: brand, value: Spider Man | attribute: category, value: swimwear | attribute: style, value: Monokinis | attribute: type, value: Romper | attribute: intended_use, value: Surfing, Rash Guard","['Spider Man', 'swimwear', 'Monokinis', 'Romper', 'Surfing, Rash Guard']"
558077,3364,ae-110k,validation,Deskland poker chips ABS + Iron made 11.5 g/piece 100 pieces/set 5 color with transparent box,,,,,,,"{""brand"": ""Deskland"", ""category"": ""poker chips"", ""material"": ""ABS + Iron"", ""weight"": ""11.5 g/piece"", ""quantity"": ""100 pieces/set"", ""color"": ""5 color"", ""packaging"": ""transparent box""}","['brand', 'category', 'material', 'weight', 'quantity', 'color', 'packaging']","attribute: brand, value: Deskland | attribute: category, value: poker chips | attribute: material, value: ABS + Iron | attribute: weight, value: 11.5 g/piece | attribute: quantity, value: 100 pieces/set | attribute: color, value: 5 color | attribute: packaging, value: transparent box","['Deskland', 'poker chips', 'ABS + Iron', '11.5 g/piece', '100 pieces/set', '5 color', 'transparent box']"
377831,38484,ae-110k,train,CAMEKOON All Metal Lever Drag Saltwater Fishing Reels 6.0:1 Gear Ratio 9+2Bearings Conventional Trolling Reel,,,,,,,"{""brand"": ""CAMEKOON"", ""category"": ""reels"", ""gear_ratio"": ""6.0:1"", ""bearings"": ""9+2"", ""type"": ""Conventional Trolling Reel""}","['brand', 'category', 'gear_ratio', 'bearings', 'type']","attribute: brand, value: CAMEKOON | attribute: category, value: reels | attribute: gear_ratio, value: 6.0:1 | attribute: bearings, value: 9+2 | attribute: type, value: Conventional Trolling Reel","['CAMEKOON', 'reels', '6.0:1', '9+2', 'Conventional Trolling Reel']"
223697,16756,ae-110k,train,Aluminum Key Holder Clip Keys Organizer Folder Keychain LED Light Ring Pocket Multi-function Outdoor Tools,,,,,,,"{""brand"": null, ""category"": ""Organizer"", ""material"": ""aluminum"", ""key_features"": [""Clip"", ""Keys Organizer"", ""Folder"", ""Keychain"", ""LED Light Ring"", ""Pocket"", ""Multi-function"", ""Outdoor Tools""]}","['brand', 'category', 'material', 'key_features']","attribute: brand, value: None | attribute: category, value: Organizer | attribute: material, value: aluminum | attribute: key_features, value: ['Clip', 'Keys Organizer', 'Folder', 'Keychain', 'LED Light Ring', 'Pocket', 'Multi-function', 'Outdoor Tools']","[None, 'Organizer', 'aluminum', ['Clip', 'Keys Organizer', 'Folder', 'Keychain', 'LED Light Ring', 'Pocket', 'Multi-function', 'Outdoor Tools']]"
1125740,6491,ae-110k,train,Men Soccer Turf Shoes Boots Football Futsal Cleats Indoor Lawn Sports Chuteiras Futebol Original Green Sneakers Futbol Big Size,,,,"{'json_answer': ""{'Sport Type': 'Swim', 'Brand Name': 'GLANE', 'Gender': 'Girls'}"", 'text': 'GLANE Brief New Kids Baby Girls Bikini Suit for Girl Navy Swimsuit Swimwear Bathing Swimming Clothes Two piece suit Beach Summer'}",GLANE Brief New Kids Baby Girls Bikini Suit for Girl Navy Swimsuit Swimwear Bathing Swimming Clothes Two piece suit Beach Summer,,"{""brand"": ""Original"", ""category"": ""calçados esportivos"", ""color"": ""Verde"", ""size"": ""Big Size""}","['brand', 'category', 'color', 'size']","attribute: brand, value: Original | attribute: category, value: calçados esportivos | attribute: color, value: Verde | attribute: size, value: Big Size","['Original', 'calçados esportivos', 'Verde', 'Big Size']"
415820,13810,ae-110k,train,Cartoon Night Owl Painting Children Swimsuit Girls Bathing Suit Blue Abstract Owl Kids Swimwear One Piece Sports Bodysuit,,,,,,,"{""brand"": null, ""category"": ""Swimsuit"", ""color"": ""Blue"", ""design"": ""Abstract Owl"", ""intended_use"": ""Children Swimwear"", ""type"": ""One Piece Sports Bodysuit""}","['brand', 'category', 'color', 'design', 'intended_use', 'type']","attribute: brand, value: None | attribute: category, value: Swimsuit | attribute: color, value: Blue | attribute: design, value: Abstract Owl | attribute: intended_use, value: Children Swimwear | attribute: type, value: One Piece Sports Bodysuit","[None, 'Swimsuit', 'Blue', 'Abstract Owl', 'Children Swimwear', 'One Piece Sports Bodysuit']"
320078,13687,ae-110k,train,Bikini New Girls Lovely Lace Bow Swimsuits Rabbit Pattern Kid Swimwear Bikini Skirts Best price,,,,,,,"{""brand"": ""New Girls"", ""category"": ""bikini"", ""pattern"": ""Rabbit"", ""intended_use"": ""swimwear""}","['brand', 'category', 'pattern', 'intended_use']","attribute: brand, value: New Girls | attribute: category, value: bikini | attribute: pattern, value: Rabbit | attribute: intended_use, value: swimwear","['New Girls', 'bikini', 'Rabbit', 'swimwear']"
202328,9402,ae-110k,train,Adidas New Arrival 2017 Original JKT KN ID 2-1-1 Men&#39;s Reversible jacket Hooded Sportswear BK5502 BQ4680,,,,,,,"{""brand"": ""Adidas"", ""category"": ""jaqueta esportiva"", ""intended_use"": ""Hooded Sportswear"", ""reversible"": true, ""color"": ""BK5502 BQ4680""}","['brand', 'category', 'intended_use', 'reversible', 'color']","attribute: brand, value: Adidas | attribute: category, value: jaqueta esportiva | attribute: intended_use, value: Hooded Sportswear | attribute: reversible, value: True | attribute: color, value: BK5502 BQ4680","['Adidas', 'jaqueta esportiva', 'Hooded Sportswear', True, 'BK5502 BQ4680']"
666259,16341,ae-110k,train,Factory direct tobacco burst color electric guitar lp standard 1956 oem electric guitar with tiger flame maple top /guitar china,,,,"{'json_answer': ""{'Capacity': '12AH', 'Type': 'Lithium Battery', 'BMS': '20A'}"", 'text': '48V Ebike battery 750W 48V 12AH Lithium Battery 48V 13S Electric Bike battery 48V 12AH with PVC case 20A BMS 54.6V 2A charger'}",48V Ebike battery 750W 48V 12AH Lithium Battery 48V 13S Electric Bike battery 48V 12AH with PVC case 20A BMS 54.6V 2A charger,,"{""brand"": ""unknown"", ""category"": ""guitarra elétrica"", ""color"": ""tobacco burst"", ""model"": ""lp standard"", ""year"": ""1956"", ""origin"": ""china""}","['brand', 'category', 'color', 'model', 'year', 'origin']","attribute: brand, value: unknown | attribute: category, value: guitarra elétrica | attribute: color, value: tobacco burst | attribute: model, value: lp standard | attribute: year, value: 1956 | attribute: origin, value: china","['unknown', 'guitarra elétrica', 'tobacco burst', 'lp standard', '1956', 'china']"
