index,pred_key,pred_value,gt_key,gt_value,match
0,category,bikini,category,,False
0,brand,GLANE,brand,,False
0,bms,,bms,,True
0,color,navy,color,,False
0,capacity,,capacity,12AH,False
0,intended_use,"piscina, praia, verão",intended_use,,False
0,type,,type,Lithium Battery,False
1,sport type,,sport type,,True
1,brand name,,brand name,,True
1,bms,,bms,,True
1,power,750W,power,,False
1,capacity,12AH,capacity,,False
1,charger,54.6V 2A,charger,,False
1,gender,,gender,Girls,False
1,voltage,48V,voltage,,False
1,type,Lithium Battery,type,,False
2,category,pillow,category,,False
2,brand,,brand,,True
2,brand name,,brand name,,True
2,features,"['Portable', 'Folding', 'Double Sided', 'Flocking']",features,,False
2,gender,,gender,Women,False
2,waist,,waist,Mid Waist,False
2,intended_use,"Traveling, camping",intended_use,,False
2,material,air inflatable,material,,False
3,category,biquini,category,,False
3,brand,CUPSHE,brand,,False
3,pieces,Two Pieces,pieces,,False
3,style,Floral Print,style,,False
3,waist,Mid Waist,waist,,False
3,intended_use,praia,intended_use,,False
3,neckline,Heart,neckline,,False
3,dampproof mat type,,dampproof mat type,,True
3,model number,,model number,,True
4,category,tênis esportivo,category,,False
4,brand,Nike,brand,,False
4,sizes,,sizes,,True
4,brand name,,brand name,,True
4,sports type,,sports type,,True
4,color,,color,,True
4,upper height,,upper height,,True
4,gender,,gender,Men,False
4,intended_use,skateboarding,intended_use,,False
4,model,Air Force 1 Low x Reigning Champ,model,,False
4,material,,material,,True
4,athletic shoe type,,athletic shoe type,,True
4,model number,,model number,,True
5,category,dança,category,,False
5,brand,,brand,,True
5,color,bronze,color,,False
5,gender,,gender,Women,False
5,intended_use,Party dance,intended_use,,False
5,athletic shoe type,,athletic shoe type,,True
5,size,3.5/4.5cm,size,,False
6,category,cap,category,,False
6,brand,Kioninai,brand,,False
6,cap,,cap,Baseball Cap,False
6,color,Panda,color,,False
6,style,Sun Hat,style,,False
6,hat,,hat,Snapback,False
6,intended_use,Shade,intended_use,,False
6,material,mesh,material,,False
6,model number,,model number,,True
7,category,biquíni,category,,False
7,brand,,brand,,True
7,sizes,,sizes,,True
7,color,gradient,color,,False
7,style,Push Up,style,,False
7,gender,,gender,Women,False
7,intended_use,piscina,intended_use,,False
7,material,,material,,True
7,backless,True,backless,,False
8,category,telescope,category,,False
8,brand,Eyoyo,brand,,False
8,max. magnification,,max. magnification,,True
8,features,"['LCD', 'HD 720P', 'Zoom', 'Digital']",features,,False
8,intended_use,Hunting,intended_use,,False
8,model,,model,BD318,False
8,size,2&quot;,size,,False
8,model number,,model number,,True
9,category,Horse whip,category,,False
9,brand,,brand,,True
9,color,black,color,,False
9,intended_use,"Riding, Racing, Entertainment",intended_use,,False
9,material,Faux leather,material,Leather,False
9,size,48cm,size,,False
9,model number,,model number,,True
10,category,ski jackets,category,,False
10,brand,China Shop Online,brand,,False
10,sizes,,sizes,,True
10,outerwear type,,outerwear type,,True
10,color,,color,,True
10,gender,,gender,Women,False
10,intended_use,snowboarding,intended_use,,False
10,material,,material,,True
11,category,camisa,category,,False
11,brand,West Ham United,brand,,False
11,year,"2018, 2019",year,,False
11,design,Western adult shirt T-shirt LANZINI CARROLL NOBLE CHICHARITO,design,,False
11,season,adult,season,,False
11,model,2018 2019,model,,False
11,player,ARNAUTOVIC,player,,False
11,model number,,model number,,True
12,category,ballet shoes,category,,False
12,color,white / black,color,,False
12,athletic shoe type,,athletic shoe type,,True
12,intended_use,Dance Shoes,intended_use,,False
13,category,golf shoes,category,,False
13,brand,,brand,,True
13,waterproof,True,waterproof,,False
13,features,"['breathable', 'Anti-skid']",features,,False
13,gender,,gender,Women,False
13,athletic shoe type,,athletic shoe type,,True
13,material,Leather,material,,False
14,category,gym fitness equipment,category,,False
14,brand,,brand,,True
14,prop choice,,prop choice,,True
14,color,,color,Wood,False
14,pattern,,pattern,Gymnastic Ring,False
14,material,made of wood,material,,False
14,key_attributes,"['adjustable long buckles', 'Pull Ups']",key_attributes,,False
14,type,,type,Gymnastic Ring,False
15,category,tent,category,,False
15,brand,3F UL Gear,brand,,False
15,intended_use,"hiking, trekking, mountaineering, cycling, fishing, beach, camping",intended_use,,False
15,material,2 layer 210T,material,,False
15,fabric,,fabric,210T,False
16,category,óculos de ciclismo,category,,False
16,brand,Obaolay,brand,,False
16,sport type,,sport type,,True
16,gender,Mans,gender,,False
16,intended_use,ciclismo,intended_use,,False
16,lens_type,Polarized,lens_type,,False
16,group_lens,5 Group Lens,group_lens,,False
17,category,playing cards,category,,False
17,brand,,brand,,True
17,color,black,color,,False
17,material,plastic,material,Plastic,False
17,key_attributes,"['waterproof', 'durable', 'creative gift']",key_attributes,,False
17,model number,,model number,,True
18,category,yoga pants,category,,False
18,brand,,brand,,True
18,sizes,,sizes,,True
18,sport type,,sport type,,True
18,color,,color,,True
18,gender,,gender,Women,False
18,material,,material,,True
18,key_attributes,"['High Elastic', 'Fitness Sport Leggings', 'Tights', 'Slim Running Sportswear Pants', 'Quick Drying']",key_attributes,,False
19,category,Camping/Outdoor Gear,category,,False
19,brand,,brand,,True
19,intended_use,"Tent Peg, Stake Pin, Nail, Camping, Hiking, Travel",intended_use,,False
19,material,Aluminum Alloy,material,,False
19,quantity,10,quantity,,False
19,material:,,material:,Aluminum,False
20,category,Golf,category,,False
20,brand,,brand,,True
20,color,Green,color,,False
20,derivative series,,derivative series,,True
20,intended_use,Golf alignment,intended_use,,False
20,quantity,10,quantity,,False
20,material,plastic,material,,False
